遺言の,一片もなき,土用波
優曇華や,われ非無和尚,永久を知る
滴りて,岩となりゆく,磨崖佛
湧き水も,自慢の一つ,岩魚宿
初鮎を,数へ直して,釣自慢
大橋を,馬わたり来る,祭かな
減反に,残る一枚,落し水
夏草や,佐渡金山の,無縁佛
大き日の,なかなか落ちぬ,糸瓜棚
万緑を,玻璃一杯に,轆轤挽く
水烏賊の,墨噴きながら,釣られけり
御灯の,今朝は色褪せ,茄子の馬
合歓の,花平家滅びし,海凪ぎて
すつきりと,留学決めて,ソーダ水
ほととぎす,身近に聞いて,峠道
雲海や,高野百坊,香絶えず
打水や,千代女いそうな,坂の路地
立侫武,多闇の奥から,笛太鼓
欲得を,捨てし齢の,涼しかり
捨て田より,青田一枚,水貰ふ
箒目の,まだ濡れている,こぼれ萩
一山を,裏返すなり,青嵐
川音に,深山の雪解,疑はず
千代女忌や,銘酒ばかりの,加賀の国
野にありて,こそ秋草と,思ひけり
死火山の,白神岳に,蝉しぐれ
大夕焼,白山までも,茜かな
涼しさや,削り直せし,桐箪笥
水音と,共に螢の,現れし
満蒙に,果てし位牌は,黴させじ
その頃の,つましき暮し,日向水
白山の,風に育ちし,蕎麦の花
誰となく,逢いたくて来し,盆踊り
ぽとり落つ,これも人の,世沙羅の花
三の丸,加賀伝承の,薪能
菅貫の,幣の真下を,くぐりけり
磯波の,砕けて烏,瓜の花
早暁の,水の揺らぎや,白蓮
杉山の,秀の端正に,夏に入る
待つといふ,ときの幸せ,白日傘
括られし,残菊余生,みつめたる
白山の,水を豊かに,青田風
結ひ上げて,うなじの匂ふ,祭髪
帯締めて,貰ひ踊りに,出てゆきぬ
ふるさとの,村ふくらみて,祭かな
白山が,源と言ふ,螢川
母の日の,母には母の,母の日が
母の星姑の,星降る夜,干梅
誰となく,逢いたくて来し,盆踊り
樹は老いぬ,吾も老いたり,敗戦忌
夏負け,にあらずこの世に,疲れけり
海征きて,遺りしものに,白絣
蛍火や,指さす指に,また蛍
白山の,風に育ちし,蕎麦の花
朝顔の,小振りも,空の色なりし
女郎蜘蛛も,友と云ふ母,一人住む
水筒に,満たす霊水,ほととぎす
読み返す,母の手紙や,啄木忌
ひぐらしに,啼かれつ一人,なる夕餉
林間学校より,杉の香の,板葉書
夜の秋,テレビを消して,妻とゐる
鳳仙花,不意に出でたる,嘘一つ
魚籠に,又もどされにけり,囮鮎
自転車で,木の橋渡る,麦の秋
銀漢や,千代女の里は,城下町
蛍よぶ,母の真似して,娘の子
妻偲ぶ,ことの一つや,草むしり
更衣,吊るして見たり,着て見たり
旅果ての,花火寂しく,なりにけり
涼しさや,削り直せし,桐箪笥
朝顔の,むらさきに喜寿,迎へけり
好き嫌い,なきも侘しや,心太
勾玉の,ごとし一滴,新茶汲む
蚊帳吊りの,釘も明治の,母の部屋
婆の意地,通しはかなき,立泳ぎ
残雪や,蓮如の道は,迷い道
足先の,しんと冷たし,螢沢
待つといふ,ときの幸せ,白日傘
誰といふ,でなし声の,欲し日の盛り
盲目の,夫に蓮,触れさせて妻
蛍と,瞬き交す,北斗かな
源氏など,読んで心を,黴させず
八月や,リクエストする,反戦歌
すっきりと,月の出てゐる,千代尼塚
干し梅に,ひと粒づつの,夜露かな
恙なく,一日一日や,ねむの花
目を瞑る,だけと言ひつつ,昼寝人
風鈴や,子供一一〇番,の家
白山の,雪渓見ゆる,ところまで
繕いの,一針ごとの,風涼し
加賀平野,十里吹き貫く,青田風
団扇絵の,海より風を,もらいけり
ゆづりあふ,舟路香る,花樗
燕来る,百万石の,城下町
藍の香を,部屋にひろげて,浴衣裁つ
大曲り,して白萩の,風に合ふ
鷺草の,飛び立つ風を,待ちにけり
千枚田,一枚にして,青田波
合掌の,大屋根小屋根,梅雨の月
大夕立,雷門の軒,借りる
杉山の,秀の端正に,夏に入る
